AV. 20 DE NOVIEMBRE NO. 1027,COL.CENTRO TUXTEPEC,68300,
AV. INDEPENDENCIA NO.745-BIS,COL.CENTRO,68300,91-(287)-5-48-74
AV. JESUS CARRANZA NO. 123,COL. LAZARO CARDENAZ TUXTEPEC,68340,01 287 5 13 13
AV. JESUS CARRANZA NO. 123,COL. LAZARO CARDENAZ TUXTEPEC,68340,91-(287)5-13-13
AV. 20 DE NOV. NO. 1372,COL. LA PIRAGUA TUXTEPEC,68380,91-(287)-5-25-64 - 5 04 36
AV. 5 DE MAYO NO.1380,COL.CENTRO TUXTEPEC,68300,91-(287)-5-04-10 - 5 00 16
AV. INDEPENDENCIA NO.117 ESQ.ARISTA,COL. LA PIRAGUA,68380,
20 DE NOVIEMBRE 1501,CENTRO,68300,
INDEPENDENCIA 85,CENTRO,68300,
DANIEL SOTO NO.370,COL.MA. LUISA TUXTEPEC,68320,91-(287)- 5-25-95
AV. INDEPENDENCIA NO. 611,COL.CENTRO TUXTEPEC,68300,01 287 5 01 52 -
AV. INDEPENDENCIA NO. 413,COL.CENTRO TUXTEPEC.OAX.,68300,91-(287 )- 5-13-10
CALLE OCAMPO NO.420,CENTRO TUXTEPEC,68300,01 287 5 31 68
PROLONG. INDEPENDENCIA NO. 2237,COL. OAXACA TUXTEPEC,68350,
AV. INDEPENDENCIA NO. 718,COL.CENTRO TUXTEPEC,68300,
AV. 1O. DE MAYO NO. 29,COL. MA. LUISA TUXTEPEC,68320,01 287 5 16 06
CALLE ALDAMA NO.233-A,COL.CENTRO,68300,91-(287)-5-30-74
AV. INDEPENDENCIA NO.147,COL. CENTRO TUXTEPEC. OAX.,68300,91-(287)-5-09-61 - 5 14 31
INDEPENDENCIA NO. 569 B,CENTRO,68300,91 287 5 38 13
LIBERTAD 56,ZONA CENTRO,68300,91287-50738
CALLE MELCHOR OCAMPO NO. 635,COL. MA. LUISA TUXTEPEC,68320,91(287) 5-13-52 - 5 14 66
AV. INDEPENDENCIA NO.1004,COL. CENTRO TUXTEPEC,68300,91-(287)-5-08-86
AV. 5 DE MAYO NO. 1637,COL. CENTRO TUXTEPEC,68300,91-(287)-5-10-39
AV. 5 DE MAYO 1634,CENTRO,68300,5 10 1939
PONCIANO ARRIAGA NO. 43,5 DE MAYO,68360,91 287 5 25 62
CALLE MATAMOROS NO.29-3,COL. CENTRO,68300,91-(287)- 5-29-50
AV. JESUS CARRANZA NO. 1067,COL. CENTRO TUXTEPEC,68300,01 287 5 10 58
AV. FERROCARRIL S/N.,COL. CENTRO PUEBLO NUEVO. PAPALOAPAN,68441,91 (287) 5-08-86
AV. 5 DE MAYO NO.1544,CENTRO TUXTEPEC,68300,
MATAMOROS No. 138,CENTRO TUXPEC,68300,
AV. 20 DE NOVIEMBRE No. 1037,CENTRO TUXTEPEC,68300,
AV. 20 DE NOVIEMBRE No. 1037,CENTRO TUXTEPEC,68380,
AV. 20 DE NOVIEMBRE NO. 1139-B,COL.CENTRO TUXTEPEC,68300,
AV. 20 DE NOVIEMBRE No50221,LA PIRAGUA,2011,
AV. 5 DE MAYO No. 1350,CENTRO TUXTEPEC,68300,
AV. INDEPENDENCIA No. 393,CENTRO,68300,
BULEVAR No810,LA PIRAGUA,68300,
CALLE SEBASTIAN ORTIZ NO.549,CENTRO,68321,01 287 5 34 51
CALLE MORELOS NO. 30,COL. CENTRO,68300,91-(287)-5-00-60
CALLE MORELOS NO. 330 INT.2,COL.CENTRO TUXTEPEC,68300,91-(287)- 5-31-03
AV 5 DE MAYO 659,CENTRO,68300,54742
OCAMPO 38,CENTRO,68305,513-09
AV. 20 DE NOVIEMBRE NO. 1070,COL.CENTRO TUXTEPEC.OAX.,68300,91-(287)- 5-29-08
AV. 5 DE MAYO NO. 1401,COL. CENTRO,68300,
AV. INDEPENDENCIA N0.1166,COL. CENTRO TUXTEPEC,68300,91-(287)- 5 -06-74-
AV. 20 DE NOVIEMBRE NO. 964,COL. CENTRO TUXTEPEC,68300,
AV. 20 DE NOVIEMBRE NO. 933,COL. CENTRO,68300,91-(287)- 5-17-48
AV. INDEPENDENCIA NO. 1811,COL. LA PIRAGUA TUXTEPEC,68380,91-(287)- 5-08-86
CALLE OCAMPO NO.266,COL.CENTRO TUXTEPEC,68300,91-(287)-5-04-26
AV. INDEPENDENCIA NO. 1162,CENTRO,68300,5-06-74 -
AV. INDEPENDENCIA N0.900,COL. LA PIRAGUA TUXTEPEC,68380,01 287 5 14 33
AV. INDEPENDENCIA NO.900,LA PIRAGUA,68300,5-14-33
CALLE ALDAMA NO.53,COL.CENTRO TUXTEPEC,68300,91-(287)-5-24-51
20 DE NOVIEMBRE 1371,CENTRO,68300,91287-50755
AV. 1O. DE MAYO NO. 240,COL.COSTA VERDE,68310,91-(287)-5-46-45
CALLE HIDALGO NO. 501,COL.CENTRO TUXTEPEC,68300,91-(287)5-00-79
ALDAMA NO. 720,LAZARO CARDENAS,68300,91 287 5 07 32
20 DE NOVIEMBRE NO 1422,LA PIRAGUA,68300,
LIBERTAD NO. 1046,CENTRO,68300,91 287 5 17 87
AV. INDEPENDENCIA NO 1023,LA PIRAGUA TUXTEPEC,68380,01 287 5 08 68
AV. LIBERTAD NO. 1046,COL. CENTRO TUXTEPEC,68300,91(287)5-17-87
AV. 5 DE MAYO NO. 1683,COL.LA PIRAGUA TUXTEPEC,68380,01 287 5 12 34
AV. INDEPENDENCIA NO.587,COL.CENTRO TUXTEPEC,68300,
INDEPENDENCIA NO. 587,CENTRO,68300,
AV. INDEPENDENCIA NO.677,LA PIRAGUA,68380,50204
MATAMOROS 2,CENTRO,68300,91 287 5 09 34
BLVD. FRANCISCO FERNANDEZ ARTEAGA NO.1984,COL. EX-NORMAL TUXTEPEC,68370,91-(287)- 5-19-86
BLVD. BENITO JUAREZ ESQ. IGNACIO MATIAS S/N.,COL.CENTRO TUXTEPEC,68320,91(287)5-10-43:91(287)5-08-58
BULEVAR BENITO JUAREZ ESQUINA I. MATIAS S/N,REPOSO,68320,91287-51045:5-0858 - 5 26 17
C. BENITO JUAREZ NO. 72,COL.CENTRO TUXTEPEC,68300,91(287)50178
AV. INDEPENDENCIA NO. 684 ALTOS,CENTRO,68300,
AV. 20 DE NOVIEMBRE ESQ.EMILIANO ZAPATA S/N,COL. CENTRO,68300,01 287 5 21 52
AV. LIBERTAD NO. 1207,COL. CENTRO,68300,01 287 5 10 47
AV. 5 DE MAYO NO. 660,COL.CENTRO TUXTEPEC,68300,01 287 5 04 01
AV. ALFONSO CASO NO. 15,CENTRO TUXTEPEC,70215,01 287 2 19 66
CALLE ALDAMA NO.70,CENTRO TUXTEPEC,68300,01 287 5 06 191 287 5 06 19
KM 1 CARRETERA A TUXTEPEC PTE EL CARACOL,CENTRO,68300,91287-50490 - 5 01 22
CALLE ARTEAGA NO. 1027,LAZARO CARDENAS,68340,
INDEPENDENCIA NO. 1420,LA PIRAGUA,68300,91 287 5 08 86
AV. 20 DE NOVIEMBRE NO. 1960,COL.CENTRO TUXTEPEC.,68300,
AV. 20 DE NOVIEMBRE 813,CENTRO,68300,51718
SIN CALLE Y SIN NUMERO,EL DESENGAÑO,68300,
INDEPENDENCIA 623,CENTRO,68300,
MATAMOROS NO. 225,CENTRO TUXTEPEC OAX.,68300,
KM.5 CARRET.TUX-PTE. CARACOL,TUXTEPEC.,68310,91-(287)-5-10-77
AV. 5 DE MAYO NO. 1906,LA PIRAGUA TUXTEPEC,68300,91-(287)- 5-09-55
INDEPENDENCIA NO. 377,CENTRO,68300,91287-50886
AV. INDEPENDENCIA NO. 584,CENTRO,68300,5 11 1995
AV. INDEPENDENCIA S/N.,COL.CENTRO TUXTEPEC.OAX.,68300,
AV. INDEPENDENCIA NO.908,LA PIRAGUA,68300,5 07 2014
AV. INDEPENDENCIA NO 511 A,CENTRO TUXTEPEC,68300,91-(287)- 5 -02-41
20 DE NOVIEMBRE 1041,CENTRO,68300,91-287-50840
JESUS CARRANZA 991,CENTRO,68300,91287-50777
KM 3.5 CARRETERA TUXTEPEC CD. ALEMAN,FRACCIONAMIENTO COSTA VERDE,68310,91 287 5 12 97 - 5 27 74
KM.3.5 CARRET.FED. TUX-CD. ALEMAN,COSTA VERDE,68310,91-(287)-5-12-97 5 27 74
AV 3 ESQUINA CALLE 2,COSTA VERDE,68300,91287-52567
GUERRERO ESC MURO,CENTRO,68300,91287-153706
AV. 20 DE NOVIEMBRE NO 1225,CENTRO TUXTEPEC,68300,
INDEPENDENCIA 1683,LA PIRAGUA,68310,91287-53579
AV. 20 DE NOVIEMBRE NO.1041,COL. CENTRO TUXTEPEC,68300,91-(287)-5-08-40
LAZARO CARDENAS NO.195,SN.MIGUEL SOYALTEPEC(TEMASCAL,68430,01 287 5 24 22
AV. 5 DE MAYO NO. 357,COL.CENTRO TUXTEPEC,68300,01 287 5 15 20 - 5 00 18
AV. 5 DE MAYO NO. 357,COL.CENTRO TUXTEPEC,68300,91-(287)-5-15-20
AV. INDEPENDENCIA NO. 427,COL.CENTRO TUXTEPEC.OAX.,68300,
INDEPENDENCIA NO. 427,CENTRO,68300,5 08 1986
CARR. A OJITALN NO 951-A,5 DE MAYO TUXTEPEC,68360,91287-54540
AV. 5 DE MAYO NO 1189,CENTRO TUXTEPEC,68300,01 287 5 23 83
BLVD. BENITO JUAREZ NO 439 B,COL. CENTRO TUXTEPEC,68360,
AV. 20 DE NOVIEMBRE No. 1950,CENTRO TUXTEPEC,68300,
AV. INDEPENDENCIA NO. 395,COL.CENTRO TUXTEPEC,68300,91-( 287)-5-11-06
BENITO JUAREZ NO 568,CENTRO,68300,287-539-45 - 5 31 27
AV.INDEPENDENCIA NO. 246,COL.CENTRO TUXTEPEC,68300,91(287)5-15-57
FRANCISCO I. MADERO NO. 182,COL.MA.EUGENIA TUXTEPEC.OAX.,68350,
AV. JESUS CARRANZA NO.73,CENTRO TUXTEPEC,68300,01 287 5 00 54
AV. 5 DE MAYO NO. 1230-B,COL. CENTRO TUXTEPEC,68300,01 287 5 01 57
AV. INDEPENDENCIA No.528,COL. CENTRO TUXTEPEC,68300,
AV. JESUS CARRANZA NO.765,COL.CENTRO,68300,
AV. INDEPENDENCIA NO. 47,CENTRO,68300,91 287 5 00 50
AV. INDEPENDENCIA NO. 701,CENTRO,68300,5-17-98:5-33-61 - 5 17 98
AV.INDEPENDENCIA NO 623,COL. CENTRO TUXTEPEC,68300,
CALLE MORELOS NO.72,COL.CENTRO TUXTEPEC,68300,01 287 5 17 91
AV. INDEPENDENCIA NO. 666,COL. CENTRO TUXTEPEC,68300,91(287) 5-27-57
CALLE ITURBIDE NO. 52,LA PIRAGUA TUXTEPEC,68380,91(287)5-06-69
AV. REFORMA NO.587,COL.EL CASTILLO,68360,91-(287)-5-14-70
